	tag	className
akutou	悪党・重犯罪捜査班	character
kami	神々	character
mgs	メタルギアソリッド	character
events	事件	entity
food	食べ物	entity
jidai	時代区分の一つ	entity
judo-waza	柔道技	entity
cities	日本の町	location
countries	世界の国	location
mixed-locations	雑多地域名	location
prefectures	日本の都道府県の一つ	location
provinces	日本の令制国の一つ	location
eight-regions	八地方区分	location
shrines	御神社	location
temples	御寺	location
tokyo-locations	東京都地域名	location
tokyo-wards	東京都区部	location
actors	俳優	person
budo	武道家	person
climbers	クライマー	person
game-designers	ゲーム作家	person
kakutougi	格闘技	person
minamoto	歴史の人	person
mixed-persons	雑多人名	person
ncc	国内研究がんセンター	person
politicians	政治家	person
rekishi	歴史の人	person
sasuke	サスケ	person
tennou	歴史の人	person
writers	作家	person
