秋葉原	あきはばら	東京都千代田区の秋葉原駅周辺、主として東京都千代田区外神田・神田佐久間町および台東区秋葉原周辺を指す地域名である。
浅草	あさくさ	東京都台東区の町名。または、旧東京市浅草区の範囲を指す地域名である。
上野	うえの	地形は、上野恩賜公園のある上野山が北区の方面から伸びる上野台地（武蔵野台地の分脈）の先端部分にあたる。
御徒町	おかちまち	1964年まで存在した東京都台東区の地域名。現在も御徒町・仲御徒町などの地名が鉄道の駅名として使われるなど、通称として使われている。
亀戸	かめいど	東京都江東区の地名で、城東地域内である。
錦糸町	きんしちょう	東京都墨田区の錦糸町駅周辺に発達する地区の通称。ビジネス街、繁華街として栄えている。江東区亀戸周辺と共に錦糸町・亀戸副都心を形成している。
汐留	しおどめ	東京都港区の地区名・旧町名。現在ではおもに、汐留地区に建設された巨大複合都市“汐留シオサイト(siosite)”を指す。
仲御徒町	なかおかちまち	東京都台東区上野五丁目にある
銀座	ぎんざ	日本有数の繁華街であり下町の一つでもある。東京屈指の高級な商店街として、日本国外においても戦前よりフジヤマ、ゲイシャ、ミキモト、赤坂などとともに知られる。「銀座」の名は一種のブランドになっており全国各地の商店街には「○○銀座」と呼ばれる所がそこかしこに見受けられる。
門前仲町	もんぜんなかちょう	江東区の地名で、旧深川区にあたる深川地域内である。
東銀座	ひがしぎんざ	東京都中央区銀座四丁目にある、東京都交通局・東京地下鉄の駅である。
有楽町	ゆうらくちょう	千代田区の町名である。住居表示実施済みで一丁目と二丁目がある。
